00:00 xSpiderMan     : YO TEK
01:01 xSpiderMan     : xD
01:03 xSpiderMan     : Sorlin
01:03 Sorlin         : ..?
01:03 xSpiderMan     : Watch dis
01:03 Sorlin         : ?
01:03 xSpiderMan     : tpa 2 meh
01:03 xSpiderMan     : Look what I did.
01:03 xSpiderMan     : This is my plot xD
01:03 Sorlin         : P.p
01:03 Sorlin         : o.O
01:03 xSpiderMan     : xD
01:03 Sorlin         : WOO
01:03 xSpiderMan     : I added a taco truck to my car collection aswell
01:05 Sorlin         : TEK
01:05 Sorlin         : IM STUCK
01:05 Sorlin         : SOS
01:06 xSpiderMan     : OMG
01:06 Sorlin         : xD
01:06 xSpiderMan     : YOUR FEET ARE DOWN HERE
01:06 Sorlin         : LOL
01:06 xSpiderMan     : Your head is on the second floor...
01:06 xSpiderMan     : xD
01:06 Sorlin         : HA
01:06 xSpiderMan     : cx
01:07 xSpiderMan     : WAIT
01:07 xSpiderMan     : IM IN CREATIVE LOL
01:07 xSpiderMan     : SORLIN
01:07 xSpiderMan     : HOW AM I IN CREATIVE?!
01:07 Sorlin         : ur in plots
01:07 xSpiderMan     : oh good
01:07 xSpiderMan     : I was like
01:07 xSpiderMan     : tf
01:07 Sorlin         : xD
01:07 Sorlin         : look
01:08 Sorlin         : spidey
01:08 xSpiderMan     : ?
01:08 xSpiderMan     : ...
01:08 Sorlin         : LOL
01:08 xSpiderMan     : MEH RACECAR IS HERE
01:09 xSpiderMan     : XD
01:09 xSpiderMan     : IT CAN DRIVE ITSELF
01:09 Sorlin         : did you get the google ai enhancement
01:09 xSpiderMan     : Wha?
01:09 xSpiderMan     : wut do u mean?
01:10 Sorlin         : on ur racecar
01:10 xSpiderMan     : What about my racecar?
01:10 Sorlin         : google ai enhancement = drives itself
01:10 xSpiderMan     : ...
01:10 xSpiderMan     : ye
01:10 Sorlin         : ah
01:11 Sorlin         : i got really confused der for a second
01:12 xSpiderMan     : xD
01:12 Sorlin         : i was like "why am i moving to the right" and relised i was pressing D
01:12 xSpiderMan     : D?
01:12 xSpiderMan     : I dont us WASD
01:12 Sorlin         : oh
01:12 Sorlin         : i do
01:12 Sorlin         : xD
01:12 xSpiderMan     : I use the arrow keys :P
01:12 xSpiderMan     : TACO TRUCK
01:12 Sorlin         : LOOSER
01:12 xSpiderMan     : Nah
01:12 xSpiderMan     : yo
01:12 Sorlin         : YO
01:13 Sorlin         : MY MEA TACOS AMEGIO
01:13 xSpiderMan     : Amegio?
01:13 Sorlin         : xD
01:13 Sorlin         : NINJA
01:13 Sorlin         : VANISH
01:13 xSpiderMan     : irl im mexician so thats just sad
01:13 Sorlin         : oh. xD sorry
01:13 xSpiderMan     : cx
01:13 Sorlin         : WAIT
01:13 Sorlin         : I WONT TELL TRUMP
01:14 xSpiderMan     : Yo get in the back this is a google truck man it be driving itself
01:14 xSpiderMan     : Got bill gates driving homie
01:15 xSpiderMan     : Forlineo xd
01:15 Sorlin         : xD
01:15 xSpiderMan     : Im keeping da nick
01:15 Sorlin         : NO YOU AGREED
01:15 xSpiderMan     : I agreed for the name change
01:15 xSpiderMan     : Not teh nick
01:15 Sorlin         : no
01:15 Sorlin         : i made u agree for the nic
01:15 xSpiderMan     : All I said was "fine"
01:15 xSpiderMan     : I never agreed :)
01:15 Sorlin         : ...
01:16 xSpiderMan     : What do you want? Name change? or nick?
01:16 Sorlin         : nither
01:16 Sorlin         : xD
01:16 xSpiderMan     : cx
01:16 xSpiderMan     : Would chu be mad if I did change it?
01:16 Sorlin         : yes
01:16 xSpiderMan     : Wut would chu do
01:16 Sorlin         : i couldnt do anythnig
01:17 xSpiderMan     : Then you would be fine :)
01:17 Sorlin         : -_-
01:17 xSpiderMan     : Anyways
01:17 xSpiderMan     : I want to do the name change
01:17 Sorlin         : -_-
01:17 xSpiderMan     : But then again, its 1 whole month
01:17 Sorlin         : yea
01:17 xSpiderMan     : I have dealed with worse
01:17 Sorlin         : -_-
01:17 xSpiderMan     : When I can I will change
01:19 Sorlin         : tek
01:19 Sorlin         : im bored
01:19 Tektronic      : me2
01:19 Sorlin         : what should i do
01:19 Tektronic      : jerk off
01:20 Sorlin         : -_-
01:20 xSpiderMan     : xD
01:20 xSpiderMan     : Ik wut 2 do
01:20 xSpiderMan     : rp on meh plot xE
01:20 xSpiderMan     : xD *
01:21 Sorlin         : no
01:21 xSpiderMan     : WB
01:21 Tektronic      : hi ras
01:21 raseraa        : HI
01:21 Sorlin         : brb
01:21 xSpiderMan     : welcome 2 washington,
01:21 xSpiderMan     : now go home
01:22 raseraa        : Siscatchatoon
01:22 xSpiderMan     : Forlineo
01:23 raseraa        : BILLY BOOBY SHAKE AND BAKE
01:23 raseraa        : I dont wanna be the only girl ;-;
01:23 Tektronic      : lol
01:23 xSpiderMan     : Sorlin is a lady.
01:23 raseraa        : Yay
01:24 Sorlin         : wat
01:24 Sorlin         : am not
01:24 xSpiderMan     : YUS U R
01:24 Sorlin         : no
01:24 xSpiderMan     : When I change my name your faction wont be able to do anything :)
01:24 Sorlin         : cool
01:24 raseraa        : tf
01:24 xSpiderMan     : srsly tho
01:24 raseraa        : xD
01:24 xSpiderMan     : Im changing my name 2 forlineo
01:24 Sorlin         : ima go google this book and see if its $400
01:24 raseraa        : AGirl
01:24 xSpiderMan     : Forrest + Leo + Sorlin
01:24 Tektronic      : ur not the only girl now
01:24 raseraa        : XD
01:24 Tektronic      : hi pengie
01:25 xSpiderMan     : You are not alone
01:25 raseraa        : forever alone
01:25 xSpiderMan     : Ye xD
01:25 Tektronic      : forever stallone
01:25 xSpiderMan     : Tek, whats your wife's ign?
01:25 Tektronic      : lissakitty
01:25 xSpiderMan     : I want to make a ship name :3
01:25 xSpiderMan     : kk
01:25 xSpiderMan     : LissaTiki
01:25 Tektronic      : balls deep
01:25 xSpiderMan     : ...
01:26 xSpiderMan     : tek
01:26 xSpiderMan     : Im scared for you if you ever have childeren.
01:26 xSpiderMan     : Childern *
01:26 xSpiderMan     : I CANT SPELL TODAY
01:26 Tektronic      : my children will be the happiest children on earth. imagine how happy you would be if ur dad
01:26 Tektronic      : stayed up until 3am
01:26 Tektronic      : playing minecraft with u
01:27 raseraa        : Im dying
01:27 xSpiderMan     : Ik I just fel bad becuz u know
01:27 xSpiderMan     : You own "dis server"
01:27 Tektronic      : i dont know what u mean
01:27 xSpiderMan     : This server would not be appropiate for your kids xD
01:27 xSpiderMan     : Not one bit
01:27 Tektronic      : yes it will
01:27 Sorlin         : Nooo Spidey Tektronic owns this server not aGirl
01:28 xSpiderMan     : How tek
01:28 xSpiderMan     : ? *
01:28 Tektronic      : bc i wouldn't be a pussy shitty parent
01:28 xSpiderMan     : What if somebody stalks your kid on minecraft?
01:28 raseraa        : Change your name to Doctor Who rn
01:28 Tektronic      : how would they stalk my kid?
01:28 xSpiderMan     : nu
01:28 Sorlin         : who
01:28 xSpiderMan     : They could find out there age and stuff, tek
01:28 Tektronic      : and what could they possibly do if they know their age?
01:28 raseraa        : the worst stage...
01:29 raseraa        : Puberty
01:29 xSpiderMan     : What if they found out the address?
01:29 lil_penguin362 : tek
01:29 xSpiderMan     : Minecraft is a dangerous game :-:
01:29 Tektronic      : my address is already listed in the phone book
01:29 Sorlin         : LOL
01:29 Sorlin         : REKT
01:29 xSpiderMan     : What if your kid downloads skype?
01:29 Sorlin         : tek
01:29 Tektronic      : i'd be like "dont use that shitty program, use web.skype.com"
01:29 Sorlin         : do you like bacon
01:30 Tektronic      : i like bacon
01:30 xSpiderMan     : He would get bullied tbh if he did get skype
01:30 xSpiderMan     : Because he would be young
01:30 raseraa        : brb
01:30 Sorlin         : what if ur kid doesnt like bacon
01:30 Tektronic      : im pretty sure spidey has no idea what he's talking about
01:30 Sorlin         : yea
01:30 Sorlin         : ik
01:30 xSpiderMan     : I do :3
01:30 Tektronic      : i disagree spidey
01:30 xSpiderMan     : I have witnessed it :3
01:30 Sorlin         : TEK
01:31 Tektronic      : you have witnessed my children being bullied on skype?
01:31 Tektronic      : please, tell me more!
01:31 Sorlin         : LOOK AT THESE SICK CSGO BEHOPS
01:31 xSpiderMan     : I have witnessed somebody else being bullied
01:31 Tektronic      : and how does that pertain to everyone on earth?
01:31 lil_penguin362 : tek were are you
01:31 xSpiderMan     : Reason I said they'd get bullied was because there voice would be like high
01:31 xSpiderMan     : All I am saying is, if you do have a kid dunt let him friend random people XD
01:32 Tektronic      : im right here pengie
01:32 Sorlin         : xD
01:32 Tektronic      : sounds like spidey had a traumatic childhood lol
01:32 Sorlin         : ye
01:32 xSpiderMan     : I did :3
01:32 lil_penguin362 : i dont see you
01:32 raseraa        : damnit
01:32 Tektronic      : im right here pengie
01:32 xSpiderMan     : Tek
01:32 xSpiderMan     : Im still going by that one theory :P
01:33 Tektronic      : which theory?
01:33 xSpiderMan     : Creep :3
01:33 Tektronic      : i dont remember ur creep theory
01:33 xSpiderMan     : I said you were a creep :3
01:33 xSpiderMan     : There is a 30 year old playing a kid game.
01:33 Tektronic      : who do u think runs hypixel? kids?
01:33 lil_penguin362 : haha
01:33 xSpiderMan     : They could, tek
01:34 Tektronic      : they dont
01:34 Tektronic      : they do AMAs
01:34 xSpiderMan     : For all I know you could be a kid.
01:34 Tektronic      : they are like 50 years old
01:34 Tektronic      : one is 30
01:34 Tektronic      : one is 40
01:34 Tektronic      : and one is 50
01:34 Tektronic      : i think theres like 10 other managers
01:34 Tektronic      : but those are the 3 main
01:34 xSpiderMan     : Thats a bigger server tho
01:34 Tektronic      : ya that makes it even worse
01:34 Tektronic      : cuz thats even more kids
01:34 xSpiderMan     : Thats why there even older...
01:34 Tektronic      : thats like ultra pedo
01:34 Tektronic      : ya
01:34 xSpiderMan     : All I am saying is
01:34 Tektronic      : hypixel is like ultra pedo
01:35 xSpiderMan     : Dis server is basically pedo
01:35 xSpiderMan     : Not ultra pedo tho
01:35 Tektronic      : ya its not as bad as hypixel
01:35 xSpiderMan     : Well
01:35 xSpiderMan     : Nobody really knows anything tbh
01:35 Tektronic      : uh
01:35 Tektronic      : yeah they do
01:35 Tektronic      : as i just stated
01:35 Tektronic      : they do AMAs
01:35 lil_penguin362 : let me spawn to u
01:35 Tektronic      : you can read about them
01:35 xSpiderMan     : Nobody knows anything tho, tek
01:35 xSpiderMan     : you could be a kid
01:36 xSpiderMan     : Hypixel could be owned by kids and they could be lying.
01:36 Tektronic      : ohhhhhhhhhh
01:36 Tektronic      : philosophy
01:36 Tektronic      : i like that
01:36 xSpiderMan     : Our life could be a dream.
01:36 Tektronic      : yeah
01:36 Tektronic      : that all boils down to "we dont know anything other than we exist"
01:36 xSpiderMan     : mhm
01:36 Tektronic      : i agree
01:36 Tektronic      : u pedo
01:36 Tektronic      : ur like a 50 year old pedo
01:36 Sorlin         : ./ban xSpiderMan
01:36 lil_penguin362 : who
01:36 xSpiderMan     : You could be a 50 year old aswell :3
01:37 Tektronic      : spidey is a pedo
01:37 Sorlin         : ./ban xSpiderMan!!!
01:37 Tektronic      : no
01:37 Tektronic      : im 90
01:37 Tektronic      : im a 90 year old pedo
01:37 Tektronic      : get it rite
01:37 Sorlin         : TEK
01:37 Sorlin         : U SAID U WERE 37 TEK
01:37 xSpiderMan     : Yo that doesnt even seem right tbh tek
01:37 Tektronic      : 32
01:37 xSpiderMan     : Way 2 old to be a pedo
01:37 lil_penguin362 : let me tp to you
01:37 xSpiderMan     : xD
01:37 Tektronic      : yeah but spidey
01:37 Tektronic      : we dont know anything for sure
01:37 Tektronic      : so u could be wrong
01:37 xSpiderMan     : So could u :3
01:37 Tektronic      : exactly
01:37 Tektronic      : thats why im a 90 year old pedo
01:38 xSpiderMan     : Exactly
01:38 lil_penguin362 : LET ME TP TO YOU!!!!!!!!!!!!!!!!!!!!
01:38 xSpiderMan     : That is why I am a 3 year old playing minecraft.
01:38 Tektronic      : ur such a pedo
01:38 xSpiderMan     : ikr
01:38 lil_penguin362 : WAT IS THAT
01:38 Tektronic      : hey
01:38 Tektronic      : psst
01:38 Tektronic      : spidey
01:38 Tektronic      : show me ur pee pee
01:38 xSpiderMan     : ?
01:39 Sorlin         : XD
01:39 xSpiderMan     : ...
01:39 xSpiderMan     : I know wut is coming
01:39 Tektronic      : r u circumsized?
01:39 xSpiderMan     : Ima leave before it happens
01:39 Tektronic      : how big is it?
01:39 Tektronic      : how big r u down there?
01:39 xSpiderMan     : Well
01:39 xSpiderMan     : -.-
01:39 Tektronic      : r u small?
01:39 xSpiderMan     : Ima leave because last time dis happened I went into torture
01:40 Tektronic      : i'll show u mine if u show me urs
01:40 Tektronic      : u first
01:40 lil_penguin362 : LISTEN TO ME
01:40 xSpiderMan     : XDDDDD
01:40 Tektronic      : omg
01:40 Tektronic      : ur so small xD
01:40 Tektronic      : LOL
01:40 Tektronic      : spidey has little pee pee
01:40 Tektronic      : but its still cute
01:40 lil_penguin362 : WERE ARE YALL
01:40 xSpiderMan     : EW
01:40 Tektronic      : im right here pengie
01:40 xSpiderMan     : IM HIDING FROM TEK
01:40 Tektronic      : spidey
01:40 Tektronic      : have u ever put a pee pee in ur mouth?
01:40 Tektronic      : its really fun
01:41 Tektronic      : u can try it with mine
01:41 xSpiderMan     : IM HIDING
01:41 Tektronic      : oo
01:41 Tektronic      : he's playing hard to get
01:41 lil_penguin362 : YEAH
01:41 xSpiderMan     : ...
01:41 Tektronic      : hey spidey baby wut r u wearin?
01:41 xSpiderMan     : Tek
01:42 Tektronic      : dont be mad bae
01:42 lil_penguin362 : WHO IS SORLIN
01:42 Tektronic      : Sorlin is Sorlin
01:42 lil_penguin362 : DUMBY
01:42 xSpiderMan     : tek
01:42 Tektronic      : gumby
01:42 Tektronic      : hi spidey baby
01:42 lil_penguin362 : SHUTUP
01:43 xSpiderMan     : xddd
01:43 Tektronic      : spidey keeps givin me his pee pee sticks
01:43 xSpiderMan     : WUT
01:43 Tektronic      : they r relly cute
01:43 raseraa        : xD
01:43 lil_penguin362 : SOMEBODY COME FIGHT ME
01:43 Tektronic      : ras spidey has the littles pee pee its so funny (but its still cute tho)
01:43 raseraa        : Is it like a tic tac
01:43 xSpiderMan     : Dona said you wanted to do a hentai rp but now I am scared to do it o.O
01:43 Tektronic      : LOL RAS
01:43 raseraa        : xD
01:44 Tektronic      : thats okay spidey, i dont need hentai anymore since u keep showin me ur pee pee
01:44 lil_penguin362 : YES
01:44 xSpiderMan     : im hiding real hard dis time
01:44 Tektronic      : spidey said he wanted to taste my pee pee...i was a little hestant at first...but he insisted so...
01:44 Tektronic      : :\
01:44 xSpiderMan     : WUT
01:44 xSpiderMan     : TF
01:44 xSpiderMan     : IS GOING ON
01:44 xSpiderMan     : IM HIDING RN
01:44 Tektronic      : hes acting all embarassed its so cute
01:45 Sorlin         : tek
01:45 Tektronic      : ay
01:45 Sorlin         : did u buff superman
01:45 Tektronic      : yeah
01:45 Sorlin         : i cant oneshot laser him
01:45 Sorlin         : its physicly imposable 4 me to kill him den
01:45 Tektronic      : idk what u mean
01:45 lil_penguin362 : WHERE ARE YOU
01:45 xSpiderMan     : SHIFT NOW
01:45 xSpiderMan     : HE IS LOOKING FOR ME
01:46 raseraa        : I need something to do
01:47 Sorlin         : Tek
01:47 Tektronic      : ay sora
01:47 Sorlin         : its imposable for green to kill superman now
01:47 Tektronic      : why is that
01:47 xSpiderMan     : FAK CHU NIGGA
01:47 Sorlin         : the laser dosnt even take him half down
01:47 Sorlin         : and u cant hit fastenoght to beat the regen
01:48 Tektronic      : okay sora tell u what
01:48 Tektronic      : i'll test ur claim
01:48 Tektronic      : and if ur wrong
01:48 Tektronic      : i put u in torture for like...an hour
01:48 Sorlin         : ?
01:48 Sorlin         : NO
01:48 Tektronic      : cuz i think ur wrong
01:48 Nick_A_Naut    : WB
01:48 Nick_A_Naut    : ty
01:48 Tektronic      : wb dick_a_small
01:48 xSpiderMan     : XD
01:48 Nick_A_Naut    : ty dicktronic
01:48 xSpiderMan     : Sorlin 1v1?
01:49 xSpiderMan     : Im bored :-:
01:49 lil_penguin362 : LETS ALL FIGHT
01:49 xSpiderMan     : k
01:49 xSpiderMan     : WAIT
01:49 xSpiderMan     : WAIT
01:49 xSpiderMan     : WENEED SORLIN
01:49 xSpiderMan     : Yo that wasnt even fairr
01:49 xSpiderMan     : dis time all of us
01:50 lil_penguin362 : SUPERMAN
01:50 xSpiderMan     : :-:
01:50 xSpiderMan     : Tek
01:50 Tektronic      : sup spidey baby
01:50 xSpiderMan     : ...
01:50 Tektronic      : :*
01:51 xSpiderMan     : Doctor Manhattan is from Watchmen :3
01:51 xSpiderMan     : ...
01:51 Tektronic      : yeah doc manhattan is DC
01:51 Tektronic      : DC ftw
01:51 xSpiderMan     : Ye
01:51 xSpiderMan     : I like dc
01:51 xSpiderMan     : I like marvel more tho
01:51 Tektronic      : me 2
01:51 Nick_A_Naut    : u all suck
01:51 Tektronic      : dc > marvel imo
01:51 Nick_A_Naut    : except not u anymroe forlineo
01:52 xSpiderMan     : Marvel stole beastboy from dc and named him "Repitil" tho
01:53 xSpiderMan     : :P
01:53 xSpiderMan     : XD
01:54 xSpiderMan     : :D
01:54 Nick_A_Naut    : :)
01:54 xSpiderMan     : Nick has the diamond sword btw
01:54 Nick_A_Naut    : with all max enchants
01:55 xSpiderMan     : Thats easy 2 get
01:55 xSpiderMan     : Use doctor strange
01:55 Nick_A_Naut    : including smithe, bane of arthropods and sharpness
01:55 Nick_A_Naut    : yh XD
01:55 xSpiderMan     : xD
01:55 xSpiderMan     : I made my skin myself :3
01:56 xSpiderMan     : Nick
01:56 Nick_A_Naut    : :p
01:56 Nick_A_Naut    : yo?
01:56 xSpiderMan     : nvm
01:57 xSpiderMan     : Nick
01:57 Nick_A_Naut    : yes?
01:57 xSpiderMan     : Those particles -,-
01:57 xSpiderMan     : XD
01:57 Nick_A_Naut    : wat particles?
01:57 Nick_A_Naut    : oh
01:57 xSpiderMan     : We can see u
01:57 Nick_A_Naut    : hmm
01:57 xSpiderMan     : Orange particles :P
01:57 Nick_A_Naut    : damn
01:57 xSpiderMan     : XD
01:57 Nick_A_Naut    : its my potions' colors combines
01:58 Nick_A_Naut    : *combined
01:58 Nick_A_Naut    : it makes orange when it mixes i guess
01:58 xSpiderMan     : lil_penguin362 lez go
01:58 xSpiderMan     : nvm
01:58 xSpiderMan     : he is invisible
01:58 Nick_A_Naut    : fine
01:58 Nick_A_Naut    : u can go
01:58 xSpiderMan     : nu
01:58 Nick_A_Naut    : i promise i won't interfere
01:58 Nick_A_Naut    : sup dicktronic
01:59 Tektronic      : hello
01:59 xSpiderMan     : NICK
01:59 Nick_A_Naut    : wait brb
01:59 xSpiderMan     : Doctor manhattan's pod is sweet
02:00 xSpiderMan     : WB
02:01 Sorlin         :  placed a sign @ 1_9: x16789, z-6342
  Turtles are as
  good as dogs
02:03 lil_penguin362 : tek
02:04 lil_penguin362 : tek why are you afk
02:05 Sorlin         : wb
02:05 donabella09    : MY SKIN CHANGED!!! :DDDD
02:05 Sorlin         : :(
02:05 donabella09    : FAK YES!!! :DDD
02:06 Sorlin         : D:
02:06 donabella09    : :3
02:06 Sorlin         : Great... everone dona's back...
02:06 donabella09    : -.-
02:07 Sorlin         : i totally didnt egg your house on plots
02:07 donabella09    : <.<
02:07 Sorlin         : totally didnt
02:07 donabella09    : mhm
02:07 Sorlin         : totttaly
02:08 Sorlin         : xD
02:08 donabella09    : :P
02:08 Sorlin         : totally didnt
02:08 Sorlin         : like why would i do that
02:08 donabella09    : ....
02:08 donabella09    : ....
02:08 donabella09    : ....
02:08 donabella09    : ....
02:08 donabella09    : ....
02:09 donabella09    : sorlin~
02:12 Sorlin         : ...
02:18 donabella09    : wb
02:18 Sorlin         : /me eggs Dona's house 
02:18 Sorlin         : :D
02:18 donabella09    : /me brings out ms knifey and go insane again* 
02:18 donabella09    : sorlin~
02:19 Sorlin         : ...
02:19 Sorlin         : she wont find me here
02:19 donabella09    : oh sorlin~
02:19 donabella09    : sorlin~
02:19 Sorlin         : im supprysed u dont just have like a yandare skin
02:19 donabella09    : XD
02:19 Sorlin         : I mean relly
02:19 donabella09    : i do have a yandere skin
02:19 Sorlin         : really
02:19 Sorlin         : ...
02:20 donabella09    : it has color in it too XD
02:20 donabella09    : its blue XD
02:20 Sorlin         : ...
02:20 donabella09    : u want to see it?
02:20 Sorlin         : greattt
02:20 Sorlin         : sure i guess
02:21 donabella09    : ....
02:21 Sorlin         : wat?
02:21 Sorlin         : ...?
02:22 Sorlin         : ???
02:22 donabella09    : sorlin~
02:22 Sorlin         : ...
02:23 Sorlin         : ...
02:23 Sorlin         : COMMON JOE RUN
02:23 donabella09    : XD
02:23 Sorlin         : FASTER JOE
02:23 Sorlin         : I KILLED JOE
02:23 donabella09    : ....sorlin~
02:24 donabella09    : im coming to get u~
02:24 donabella09    : im coming to get u~
02:24 donabella09    : :3
02:24 Sorlin         : shh
02:24 donabella09    : sorlin~
02:25 Sorlin         : HA
02:25 Sorlin         : AHHH
02:26 Sorlin         : SAFE
02:26 Sorlin         : ESCAPE
02:26 donabella09    : u sure sorlin?~
02:26 Sorlin         : hahahah
02:27 donabella09    : XD
02:28 Sorlin         : SOTOOP
02:28 donabella09    : XD
02:28 donabella09    : im bored .-.
02:28 Sorlin         : shhh
02:30 donabella09    : X3
02:30 Sorlin         : ...
02:30 donabella09    : sorlin~
02:30 Sorlin         : AGGG
02:30 Sorlin         : YANDARE
02:30 donabella09    : sorlin~
02:30 donabella09    : ive been waiting~
02:31 Sorlin         : O.o
02:31 donabella09    : to...~
02:31 donabella09    : tell u that im not a yandere :P
02:31 Sorlin         : oh
02:31 Sorlin         : hmm
02:31 donabella09    : besides i cant hurt chu :P
02:32 Sorlin         : :D
02:32 donabella09    : :P
02:32 Sorlin         : Who do u most ship on the server
02:32 donabella09    : sorrest
02:32 Sorlin         : ...
02:33 donabella09    : XD
02:33 donabella09    : i see u there XD
02:33 Sorlin         : dont do that.. </3
02:33 donabella09    : XD
02:33 Sorlin         : </3
02:33 donabella09    : <3
02:33 Sorlin         : </3
02:33 donabella09    : <3
02:33 Sorlin         : </3
02:34 donabella09    : <3
02:34 Sorlin         : noo </3
02:34 donabella09    : <3
02:34 donabella09    : nah XD
02:34 donabella09    : say hi to ms. knifey~
02:34 Sorlin         : NONONO
02:34 donabella09    : XD
02:35 donabella09    : ...lava....
02:35 Sorlin         : plz no
02:35 donabella09    : drowning~
02:35 Sorlin         : what do you want...
02:35 donabella09    : meh
02:35 Sorlin         : other than my soul
02:35 donabella09    : T^T
02:35 donabella09    : blood :3
02:35 Sorlin         : or blood
02:35 Sorlin         : or bones
02:35 donabella09    : T^T
02:36 donabella09    : then slow torture :3
02:36 Sorlin         : or that
02:36 Sorlin         : like
02:36 Sorlin         : ill do anythign painless
02:36 donabella09    : pay me more :3
02:36 Sorlin         : ...
02:36 donabella09    : ...
02:36 donabella09    : ....
02:36 Sorlin         : hmm
02:36 Sorlin         : anything else
02:37 donabella09    : soul :P
02:37 Sorlin         : ANYHTING ELSE
02:37 Sorlin         : LIKE ANYTHING
02:37 donabella09    : pay?~
02:38 Sorlin         : uh anyhthing else
02:38 donabella09    : nope~
02:38 Sorlin         : u sure~
02:38 Sorlin         : Hmm?~
02:38 donabella09    : u sure u dont want to pay me?~
02:39 Sorlin         : Yea~
02:39 donabella09    : u really sure?~
02:39 Sorlin         : Yea.~
02:39 donabella09    : hmm~....dungeon~
02:39 Sorlin         : Ill DO anything else~
02:39 donabella09    : dungeon then~
02:39 Sorlin         : O.o
02:40 Sorlin         : whats the dungeon
02:40 donabella09    : hehe ill show you~
02:40 Sorlin         : ...
02:40 donabella09    : u ready?~
02:40 Sorlin         : /me gulps 
02:40 Sorlin         : Yhh no~
02:40 donabella09    : too bad!~
02:41 Sorlin         : You dont want to do this..?~
02:41 donabella09    : im sure i do want to do this~
02:41 Sorlin         : ...
02:41 donabella09    : dungeon~
02:41 Sorlin         : O.o
02:42 donabella09    : :3 thats dungeon~
02:42 Sorlin         : ...
02:42 donabella09    : hehe~
02:42 Sorlin         : anything else
02:42 donabella09    : hmm~
